time,value
1752851202.9181561,-1
1752851203.0215392,-1
1752851203.1247807,0
1752851203.227908,1
1752851203.3310935,1
1752851203.4341931,-1
1752851203.5374243,-1
1752851203.6405466,-1
1752851203.7437623,0
1752851203.8470855,1
1752851203.950168,0
1752851204.053478,-1
1752851204.1567285,-1
1752851204.2599337,0
1752851204.363311,1
1752851204.466398,1
1752851204.5697877,-1
1752851204.6728568,-1
1752851204.7761743,0
1752851204.8792622,1
1752851204.9826026,1
1752851205.0857127,-1
1752851205.189082,-1
1752851205.2922258,0
1752851205.3970978,1
1752851205.5002234,1
1752851205.6035717,-1
1752851205.7067602,-1
1752851205.8099978,0
1752851205.913085,1
1752851206.0164235,1
1752851206.1195302,0
1752851206.2229517,-1
1752851206.3261006,0
1752851206.4294057,1
1752851206.5325074,1
1752851206.6359305,0
1752851206.7390606,-1
1752851206.8423831,-1
1752851206.945518,0
1752851207.0488298,0
1752851207.1519186,0
1752851207.2552433,-1
1752851207.3583808,-1
1752851207.4617202,0
1752851207.564728,1
1752851207.668135,0
1752851207.7712665,-1
1752851207.8743773,-1
1752851207.9777558,0
1752851208.0808516,1
1752851208.1839216,1
1752851208.2872043,-1
1752851208.3903027,-1
1752851208.4936688,0
1752851208.5968018,1
1752851208.699971,1
1752851208.8032808,0
1752851208.9063966,-1
1752851209.009793,-1
1752851209.1129184,0
1752851209.2160501,1
1752851209.3193834,0
1752851209.4224932,-1
1752851209.5258205,-1
1752851209.6289113,0
1752851209.7320442,1
1752851209.835379,1
1752851209.9385052,-1
1752851210.041835,-1
1752851210.1449661,0
1752851210.2483528,1
1752851210.351406,1
1752851210.4547925,0
1752851210.5577812,-1
1752851210.6611352,0
1752851210.764238,0
1752851210.8673105,0
1752851210.9706945,0
1752851211.0737255,-1
1752851211.1771002,-1
1752851211.2802706,0
1752851211.3835578,1
1752851211.4867244,0
1752851211.5900948,-1
1752851211.6932235,-1
1752851211.7963064,0
1752851211.8993757,0
1752851212.002433,1
1752851212.1055832,-1
1752851212.2087266,-1
1752851212.312175,0
1752851212.4152744,1
1752851212.5186489,1
1752851212.6218598,-1
1752851212.725233,-1
1752851212.8283918,0
1752851212.9317427,0
1752851213.034983,1
1752851213.1383262,-1
1752851213.2415388,-1
1752851213.3446894,-1
1752851213.4481492,1
1752851213.5512805,1
1752851213.654664,0
1752851213.7578733,-1
1752851213.8612063,-1
1752851213.9643862,0
1752851214.0677643,1
1752851214.1710482,0
1752851214.274217,-1
1752851214.377597,-2
1752851214.4807668,0
1752851214.5841331,1
1752851214.6873586,1
1752851214.7906482,-1
1752851214.8936834,-1
1752851214.9969146,0
1752851215.0999737,1
1752851215.2033556,1
1752851215.3065064,-1
1752851215.4098551,-1
1752851215.5132377,0
1752851215.6163867,1
1752851215.719744,1
1752851215.822872,0
1752851215.926193,-1
1752851216.0292876,-1
1752851216.1326103,0
1752851216.2357886,1
1752851216.3391514,0
1752851216.4422212,-1
1752851216.54559,-1
1752851216.6487062,0
1752851216.752106,1
1752851216.8551893,0
1752851216.9585044,-1
1752851217.0615811,-1
1752851217.1649213,0
1752851217.2680829,1
1752851217.371464,1
1752851217.474596,-1
1752851217.5776951,-1
1752851217.6810102,0
1752851217.7844741,1
1752851217.8874624,1
1752851217.9906294,0
1752851218.0938132,-1
1752851218.1969712,-1
1752851218.3001397,0
1752851218.403259,1
1752851218.5064807,0
1752851218.6096344,-1
1752851218.7128086,-1
1752851218.815974,0
1752851218.91918,1
1752851219.0222816,1
1752851219.1255565,-1
1752851219.2287145,-1
1752851219.3324451,0
1752851219.4358623,1
1752851219.5391328,1
1752851219.6426337,-1
1752851219.746335,-2
1752851219.8494356,0
1752851219.952774,1
1752851220.0558958,1
1752851220.1589406,-1
1752851220.2620924,-1
1752851220.3652544,0
1752851220.4683113,1
1752851220.5713925,1
1752851220.6746004,-1
1752851220.7776763,-1
1752851220.8807828,-1
1752851220.9841444,0
1752851221.0872173,1
1752851221.1903763,0
1752851221.2935658,-1
1752851221.3966415,-1
1752851221.4998584,0
1752851221.603345,1
1752851221.7067385,1
1752851221.809859,-1
1752851221.9128995,-1
1752851222.0160263,0
1752851222.1191607,0
1752851222.222226,1
1752851222.3253853,0
1752851222.4285233,-1
1752851222.531626,-1
1752851222.634767,0
1752851222.737916,1
1752851222.841026,1
1752851222.9441638,-1
1752851223.04727,-1
1752851223.1505377,0
1752851223.2538354,1
1752851223.3569863,1
1752851223.4603193,-1
1752851223.563406,-1
1752851223.6664813,0
1752851223.7698476,1
1752851223.872945,1
1752851223.976306,0
1752851224.0794082,-1
1752851224.1828213,-1
1752851224.2858734,1
1752851224.3891997,0
1752851224.4922862,0
1752851224.5956008,-1
1752851224.6987867,-1
1752851224.8021312,0
1752851224.9051332,1
1752851225.008408,1
1752851225.1115267,-1
1752851225.2149553,-1
1752851225.3180702,0
1752851225.4229283,0
1752851225.526047,0
1752851225.6291568,-1
1752851225.7324312,-1
1752851225.835528,0
1752851225.9388907,1
1752851226.041972,1
1752851226.145305,-1
1752851226.2484417,-1
1752851226.3517752,0
1752851226.454904,1
1752851226.5582402,1
1752851226.6613688,0
1752851226.7644215,-1
1752851226.8677258,0
1752851226.970996,1
1752851227.0740743,1
1752851227.1774347,0
1752851227.2805793,-1
1752851227.3839743,-1
1752851227.4870622,0
1752851227.5904129,0
1752851227.693583,0
1752851227.7968364,-1
1752851227.8999472,-1
1752851228.0032632,0
1752851228.1063087,1
1752851228.209743,0
1752851228.3128755,-1
1752851228.416229,-1
1752851228.5193334,0
1752851228.6227262,1
1752851228.7258608,1
1752851228.8291845,-1
1752851228.9322932,-1
1752851229.0354369,0
1752851229.1387901,1
1752851229.2419913,1
1752851229.3452294,0
1752851229.448559,-1
1752851229.5517232,-1
1752851229.6548805,0
1752851229.7583497,1
1752851229.8615184,0
1752851229.9648237,-1
1752851230.0680451,-1
1752851230.171401,1
1752851230.2746942,1
1752851230.3780541,0
1752851230.481175,-1
1752851230.584661,-1
1752851230.6880612,0
1752851230.7911806,1
1752851230.8945205,1
1752851230.9976907,-1
1752851231.1010535,-1
1752851231.2042034,0
1752851231.3076313,1
1752851231.4107938,1
1752851231.5141926,-1
1752851231.6173549,-1
1752851231.720809,0
1752851231.823873,1
1752851231.9268744,1
1752851232.02994,-1
1752851232.1330628,-1
1752851232.2361863,0
1752851232.3395336,1
1752851232.4426682,1
1752851232.54576,0
1752851232.6486971,-1
1752851232.751875,-2
1752851232.8549,0
1752851232.9582236,1
1752851233.0613136,1
1752851233.1643398,-1
1752851233.2675414,-1
1752851233.3709216,0
1752851233.4739995,1
1752851233.577087,1
1752851233.6802146,0
1752851233.7833416,-1
1752851233.8863544,-1
1752851233.9895158,0
1752851234.0926158,1
1752851234.1957736,0
1752851234.2991369,-1
1752851234.4022415,-1
1752851234.5053449,0
1752851234.608635,1
1752851234.7118134,1
1752851234.8149238,0
1752851234.9179888,-1
1752851235.0212493,0
1752851235.1244905,1
1752851235.2276416,1
1752851235.3308628,0
1752851235.4340577,-1
1752851235.537179,-1
1752851235.6403265,0
1752851235.7436242,1
1752851235.846796,0
1752851235.9498909,-1
1752851236.0530465,-2
1752851236.156227,0
1752851236.259388,1
1752851236.3625274,1
1752851236.465658,-1
1752851236.5687976,-1
1752851236.6719947,0
1752851236.7751555,1
1752851236.878244,1
1752851236.9812572,0
1752851237.0843718,-1
1752851237.1876154,-1
1752851237.2908468,0
1752851237.3940532,1
1752851237.4971623,0
1752851237.6004386,-1
1752851237.7035081,-2
1752851237.8067737,0
